        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603110000,   3.785,   4.368,   0.400,   0.183,   4.368,   0.300,   4.268,   0.400,   4.368
202603110006,   3.695,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110012,   3.602,   4.208,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110018,   3.506,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110024,   3.409,   4.057,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110030,   3.309,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110036,   3.208,   3.899,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110042,   3.106,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110048,   3.002,   3.729,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110054,   2.898,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110100,   2.794,   3.568,   0.400,   0.374,   3.568,   0.300,   3.468,   0.400,   3.568
202603110106,   2.689,   3.489,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110112,   2.584,   3.407,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110118,   2.479,   3.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110124,   2.375,   3.240,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110130,   2.272,   3.158,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110136,   2.169,   3.070,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110142,   2.069,   2.988,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110148,   1.970,   2.899,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110154,   1.873,   2.830,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110200,   1.778,   2.738,   0.400,   0.560,   2.738,   0.300,   2.638,   0.400,   2.738
202603110206,   1.686,   2.650,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110212,   1.596,   2.578,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110218,   1.510,   2.499,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110224,   1.428,   2.420,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110230,   1.348,   2.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110236,   1.273,   2.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110242,   1.201,   2.200,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110248,   1.133,   2.118,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110254,   1.069,   2.049,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110300,   1.009,   1.981,   0.400,   0.572,   1.981,   0.300,   1.881,   0.400,   1.981
202603110306,   0.953,   1.918,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110312,   0.900,   1.840,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110318,   0.851,   1.781,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110324,   0.805,   1.718,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110330,   0.762,   1.649,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110336,   0.723,   1.590,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110342,   0.686,   1.538,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110348,   0.652,   1.489,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110354,   0.620,   1.439,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110400,   0.591,   1.390,   0.400,   0.399,   1.390,   0.300,   1.290,   0.400,   1.390
202603110406,   0.565,   1.338,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110412,   0.542,   1.298,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110418,   0.521,   1.259,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110424,   0.504,   1.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110430,   0.490,   1.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110436,   0.480,   1.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110442,   0.474,   1.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110448,   0.473,   1.229,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110454,   0.477,   1.259,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110500,   0.487,   1.308,   0.400,   0.421,   1.308,   0.300,   1.208,   0.400,   1.308
202603110506,   0.504,   1.371,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110512,   0.528,   1.430,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110518,   0.559,   1.508,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110524,   0.599,   1.580,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110530,   0.647,   1.649,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110536,   0.704,   1.738,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110542,   0.770,   1.849,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110548,   0.846,   1.967,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110554,   0.932,   2.089,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110600,   1.026,   2.210,   0.400,   0.784,   2.210,   0.300,   2.110,   0.400,   2.210
202603110606,   1.130,   2.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110612,   1.243,   2.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110618,   1.364,   2.587,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110624,   1.493,   2.709,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110630,   1.628,   2.840,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110636,   1.770,   2.968,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110642,   1.916,   3.089,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110648,   2.067,   3.217,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110654,   2.221,   3.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110700,   2.376,   3.450,   0.300,   0.774,   3.450,   0.300,   3.450,   0.400,   3.550
202603110706,   2.532,   3.568,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110712,   2.688,   3.689,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110718,   2.843,   3.788,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110724,   2.995,   3.919,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110730,   3.144,   4.047,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110736,   3.288,   4.149,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110742,   3.428,   4.280,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110748,   3.563,   4.398,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603110754,   3.692,   4.509,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
